IBEP - Carteira do Dia 21/10/24
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ALOS3;ALLOS;ON      NM;502.481.592;0,639;
ALPA4;ALPARGATAS;PN      N1;166.460.180;0,066;
ABEV3;AMBEV S/A;ON;4.394.835.131;3,217;
ASAI3;ASSAI;ON      NM;1.349.687.675;0,544;
AURE3;AUREN;ON      NM;291.727.616;0,172;
AZUL4;AZUL;PN      N2;328.421.113;0,111;
AZZA3;AZZAS 2154;ON      NM;127.330.493;0,292;
B3SA3;B3;ON      NM;5.511.401.013;3,337;
BBDC3;BRADESCO;ON      N1;1.484.426.957;1,126;
BBDC4;BRADESCO;PN      N1;5.129.958.973;4,467;
BRAP4;BRADESPAR;PN      N1;250.969.312;0,271;
BRKM5;BRASKEM;PNA     N1;265.388.400;0,274;
BRAV3;BRAVA;ON      NM;463.981.130;0,447;
BRFS3;BRF SA;ON      NM;814.523.002;1,127;
BPAC11;BTGP BANCO;UNT     N2;1.287.247.964;2,424;
CRFB3;CARREFOUR BR;ON      NM;531.901.983;0,211;
CCRO3;CCR SA;ON      NM;991.920.937;0,688;
COGN3;COGNA ON;ON      NM;1.872.454.628;0,144;
CPLE6;COPEL;PNB     N2;1.679.233.590;0,944;
CSAN3;COSAN;ON      NM;1.165.337.843;0,782;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,348;
CMIN3;CSNMINERACAO;ON      N2;1.110.559.345;0,374;
CVCB3;CVC BRASIL;ON      NM;525.591.097;0,056;
CYRE3;CYRELA REALT;ON      NM;264.710.610;0,326;
ELET3;ELETROBRAS;ON      N1;1.780.013.881;3,821;
ELET6;ELETROBRAS;PNB     N1;268.733.136;0,643;
EMBR3;EMBRAER;ON      NM;734.632.601;2,004;
ENGI11;ENERGISA;UNT     N2;326.175.300;0,807;
ENEV3;ENEVA;ON      NM;1.579.821.370;1,295;
EGIE3;ENGIE BRASIL;ON      NM;255.236.938;0,600;
EQTL3;EQUATORIAL;ON      NM;1.244.602.400;2,298;
EZTC3;EZTEC;ON      NM;97.334.950;0,077;
FLRY3;FLEURY;ON      NM;464.420.650;0,394;
GGBR4;GERDAU;PN      N1;1.242.683.687;1,300;
GOAU4;GERDAU MET;PN      N1;661.577.619;0,388;
NTCO3;GRUPO NATURA;ON      NM;849.350.756;0,719;
HAPV3;HAPVIDA;ON      NM;4.779.395.040;1,021;
HYPE3;HYPERA;ON      NM;409.310.634;0,597;
IGTI11;IGUATEMI S.A;UNT     N1;211.468.849;0,256;
IRBR3;IRBBRASIL RE;ON      NM;81.838.243;0,194;
ITSA4;ITAUSA;PN      N1;5.504.638.590;3,320;
ITUB4;ITAUUNIBANCO;PN      N1;4.455.161.368;8,934;
JBSS3;JBS;ON      NM;1.142.696.472;2,254;
KLBN11;KLABIN S/A;UNT     N2;765.785.673;0,901;
RENT3;LOCALIZA;ON      NM;977.700.485;2,348;
LREN3;LOJAS RENNER;ON      NM;952.487.418;0,996;
LWSA3;LWSA;ON      NM;420.626.825;0,108;
MGLU3;MAGAZ LUIZA;ON      NM;353.448.195;0,189;
MRFG3;MARFRIG;ON      NM;302.019.876;0,250;
BEEF3;MINERVA;ON      NM;261.359.935;0,083;
MRVE3;MRV;ON      NM;375.335.828;0,154;
MULT3;MULTIPLAN;ON      N2;318.010.631;0,469;
PCAR3;P.ACUCAR-CBD;ON      NM;379.327.171;0,068;
RECV3;PETRORECSA;ON      NM;275.699.226;0,268;
PRIO3;PETRORIO;ON      NM;798.909.771;1,915;
PETZ3;PETZ;ON      NM;307.729.428;0,087;
RADL3;RAIADROGASIL;ON      NM;1.279.770.315;1,830;
RAIZ4;RAIZEN;PN      N2;1.192.947.233;0,197;
RDOR3;REDE D OR;ON      NM;1.145.289.019;1,949;
RAIL3;RUMO S.A.;ON      NM;1.215.994.115;1,326;
SBSP3;SABESP;ON      NM;683.508.570;3,539;
SANB11;SANTANDER BR;UNT EDJ;356.586.730;0,581;
STBP3;SANTOS BRP;ON  ER  NM;855.712.622;0,627;
SMTO3;SAO MARTINHO;ON      NM;142.348.116;0,209;
CSNA3;SID NACIONAL;ON;736.268.400;0,488;
SLCE3;SLC AGRICOLA;ON      NM;194.261.422;0,188;
SUZB3;SUZANO S.A.;ON      NM;630.821.784;2,000;
TAEE11;TAESA;UNT     N2;218.568.234;0,434;
VIVT3;TELEF BRASIL;ON;407.257.128;1,269;
TIMS3;TIM;ON      NM;807.495.418;0,809;
TOTS3;TOTVS;ON      NM;540.206.440;0,876;
TRPL4;TRAN PAULIST;PN      N1;395.801.044;0,550;
UGPA3;ULTRAPAR;ON      NM;1.090.134.379;1,289;
USIM5;USIMINAS;PNA     N1;515.193.199;0,179;
VALE3;VALE;ON      NM;4.270.903.023;14,699;
VAMO3;VAMOS;ON      NM;485.166.826;0,160;
VBBR3;VIBRA;ON      NM;1.023.392.529;1,316;
VIVA3;VIVARA S.A.;ON      NM;125.823.025;0,187;
WEGE3;WEG;ON      NM;1.269.032.828;3,983;
YDUQ3;YDUQS PART;ON      NM;290.010.465;0,170;
Quantidade Teórica Total;;;83.148.308.932;100,000
Redutor;;;1.351.375.125,33018442
