IVBX - Carteira do Dia 21/10/24
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ALOS3;ALLOS;ON      NM;502.481.592;1,358;
ASAI3;ASSAI;ON      NM;1.349.687.675;1,155;
AZUL4;AZUL;PN      N2;328.421.113;0,235;
AZZA3;AZZAS 2154;ON      NM;127.330.493;0,621;
BBSE3;BBSEGURIDADE;ON      NM;637.332.335;2,602;
BRKM5;BRASKEM;PNA     N1;265.388.400;0,581;
BRAV3;BRAVA;ON      NM;463.981.130;0,949;
BRFS3;BRF SA;ON      NM;814.523.002;2,394;
CRFB3;CARREFOUR BR;ON      NM;531.901.983;0,448;
CCRO3;CCR SA;ON      NM;991.920.937;1,461;
CMIG4;CEMIG;PN      N1;1.858.636.840;2,477;
COGN3;COGNA ON;ON      NM;1.872.454.628;0,306;
CPLE6;COPEL;PNB     N2;1.679.233.590;2,007;
CSAN3;COSAN;ON      NM;1.165.337.843;1,661;
CYRE3;CYRELA REALT;ON      NM;264.710.610;0,692;
ELET3;ELETROBRAS;ON      N1;1.977.170.723;9,015;
EMBR3;EMBRAER;ON      NM;734.632.601;4,255;
ENGI11;ENERGISA;UNT     N2;326.175.300;1,715;
ENEV3;ENEVA;ON      NM;1.579.821.370;2,750;
EQTL3;EQUATORIAL;ON      NM;1.244.602.400;4,880;
GGBR4;GERDAU;PN      N1;1.242.683.687;2,761;
GOAU4;GERDAU MET;PN      N1;661.577.619;0,824;
NTCO3;GRUPO NATURA;ON      NM;849.350.756;1,527;
HAPV3;HAPVIDA;ON      NM;4.779.395.040;2,169;
HYPE3;HYPERA;ON      NM;409.310.634;1,268;
IGTI11;IGUATEMI S.A;UNT     N1;211.468.849;0,543;
JBSS3;JBS;ON      NM;1.142.696.472;4,788;
KLBN11;KLABIN S/A;UNT     N2;765.785.673;1,915;
LREN3;LOJAS RENNER;ON      NM;952.487.418;2,116;
MGLU3;MAGAZ LUIZA;ON      NM;353.448.195;0,401;
MRFG3;MARFRIG;ON      NM;302.019.876;0,530;
BEEF3;MINERVA;ON      NM;261.359.935;0,177;
MRVE3;MRV;ON      NM;375.335.828;0,327;
MULT3;MULTIPLAN;ON      N2;318.010.631;0,996;
RADL3;RAIADROGASIL;ON      NM;1.279.770.315;3,887;
RDOR3;REDE D OR;ON      NM;1.145.289.019;4,139;
RAIL3;RUMO S.A.;ON      NM;1.215.994.115;2,817;
SBSP3;SABESP;ON      NM;683.508.570;7,516;
CSNA3;SID NACIONAL;ON;736.268.400;1,037;
SUZB3;SUZANO S.A.;ON      NM;630.821.784;4,247;
VIVT3;TELEF BRASIL;ON;407.257.128;2,695;
TIMS3;TIM;ON      NM;807.495.418;1,720;
TOTS3;TOTVS;ON      NM;540.206.440;1,861;
TRPL4;TRAN PAULIST;PN      N1;395.801.044;1,169;
UGPA3;ULTRAPAR;ON      NM;1.090.134.379;2,737;
USIM5;USIMINAS;PNA     N1;515.193.199;0,381;
VAMO3;VAMOS;ON      NM;485.166.826;0,340;
VBBR3;VIBRA;ON      NM;1.023.392.529;2,793;
VIVA3;VIVARA S.A.;ON      NM;125.823.025;0,398;
YDUQ3;YDUQS PART;ON      NM;290.010.465;0,359;
Quantidade Teórica Total;;;42.712.807.834;100,000
Redutor;;;60.332.157,82371937
