Código,Ação,Tipo,Qtde. Teórica,Part. (%)
TTEN3,3TENTOS,ON      NM,395.249.232,"2,195"
ABEV3,AMBEV S/A,ON,989.643.250,"6,913"
ARML3,ARMAC,ON      NM,239.599.782,"1,033"
ASAI3,ASSAI,ON      NM,818.092.447,"3,220"
SOJA3,BOA SAFRA,ON      NM,333.488.689,"2,138"
AGRO3,BRASILAGRO,ON      NM,242.860.972,"3,285"
BRFS3,BRF SA,ON      NM,492.350.368,"6,520"
CAML3,CAMIL,ON      NM,334.096.698,"1,497"
CRFB3,CARREFOUR BR,ON      NM,413.336.192,"1,557"
CSAN3,COSAN,ON      NM,986.197.947,"6,299"
DXCO3,DEXCO,ON      NM,823.100.665,"3,634"
GMAT3,GRUPO MATEUS,ON      NM,402.866.114,"1,606"
HBSA3,HIDROVIAS,ON      NM,769.208.334,"1,382"
RANI3,IRANI,ON      NM,736.139.059,"2,974"
JALL3,JALLESMACHAD,ON      NM,870.822.030,"2,906"
JBSS3,JBS,ON      NM,365.750.002,"6,938"
JSLG3,JSL,ON      NM,170.656.587,"0,724"
KEPL3,KEPLER WEBER,ON      NM,210.271.903,"1,061"
KLBN11,KLABIN S/A,UNT     N2,633.904.061,"7,155"
MDIA3,M.DIASBRANCO,ON      NM,131.449.687,"1,799"
MRFG3,MARFRIG,ON      NM,334.872.729,"2,684"
BEEF3,MINERVA,ON      NM,491.426.465,"1,504"
PCAR3,P.ACUCAR-CBD,ON      NM,608.524.261,"1,040"
RAIZ4,RAIZEN,PN      N2,2.282.163.674,"3,579"
RAPT4,RANDON PART,PN      N1,211.146.064,"1,252"
RCSL3,RECRUSUL,ON,338.493.734,"0,787"
RAIL3,RUMO S.A.,ON      NM,507.220.774,"5,288"
SMTO3,SAO MARTINHO,ON      NM,266.989.564,"3,793"
SLCE3,SLC AGRICOLA,ON      NM,405.419.664,"3,814"
SUZB3,SUZANO S.A.,ON      NM,277.674.453,"8,507"
TUPY3,TUPY,ON      NM,121.896.304,"1,545"
VAMO3,VAMOS,ON      NM,416.141.552,"1,371"
